CHORD      note  ma mi au di s2 s4 b5 ~6 ~7 ~9 11 +M7 +9
D7sus2    (0.24, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0)
D7sus4    (0.24, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0)
DM9       (0.24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
Dm9       (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
D9        (0.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
Daug9     (0.24, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
Ddim9     (0.24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)
DM9sus2   (0.24, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)
DM9sus4   (0.24, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)
D9sus2    (0.24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)
D9sus4    (0.24, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)
DM11      (0.24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
Dm11      (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
D11       (0.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
Daug11    (0.24, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
DM11sus2  (0.24, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)
D11sus2   (0.24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)
DmM7      (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)
DmM7(9)   (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)
DM6       (0.24, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)
Dm6       (0.24, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)
DM6(9)    (0.24, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)
Dm6(9)    (0.24, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)
