Cmaj C E G   1 5 8 
AM11sus2 A B E G# B D   10 12 17 21 24 3 
A11sus2 A B E G B D   10 12 17 20 24 3 
AmM7 A C E G#   10 13 17 21 
AmM7(9) A C E G# B   10 13 17 21 24 
AM6 A C# E F#   10 14 17 19 
Am6 A C E F#   10 13 17 19 
AM6(9) A C# E F# B   10 14 17 19 24 
Am6(9) A C E F# B   10 13 17 19 24 
A#maj A# D F   11 15 18 
A#min A# C# F   11 14 18 
A#aug A# D F#   11 15 19 
A#dim A# C# E   11 14 17 
A#sus2 A# C F   11 13 18 
A#sus4 A# D# F   11 16 18 
A#M7 A# D F A   11 15 18 22 
A#m7 A# C# F G#   11 14 18 21 
A#7 A# D F G#   11 15 18 21 
A#aug7 A# D F# G#   11 15 19 21 
A#dim7 A# C# E G   11 14 17 20 
A#o7 A# C# E G#   11 14 17 21 
A#M7sus2 A# C F A   11 13 18 22 
A#M7sus4 A# D# F A   11 16 18 22 
A#7sus2 A# C F G#   11 13 18 21 
A#7sus4 A# D# F G#   11 16 18 21 
A#M9 A# D F A C   11 15 18 22 1 
A#m9 A# C# F G# C   11 14 18 21 1 
A#9 A# D F G# C   11 15 18 21 1 
A#aug9 A# D F# G# C   11 15 19 21 1 
A#dim9 A# C# E G C   11 14 17 20 1 
A#M9sus2 A# C F A C   11 13 18 22 1 
A#M9sus4 A# D# F A C   11 16 18 22 1 
A#9sus2 A# C F G# C   11 13 18 21 1 
A#9sus4 A# D# F G# C   11 16 18 21 1 
A#M11 A# D F A C D#   11 15 18 22 1 4 
A#m11 A# C# F G# C D#   11 14 18 21 1 4 
A#11 A# D F G# C D#   11 15 18 21 1 4 
A#aug11 A# D F# G# C D#   11 15 19 21 1 4 
A#M11sus2 A# C F A C D#   11 13 18 22 1 4 
A#11sus2 A# C F G# C D#   11 13 18 21 1 4 
A#mM7 A# C# F A   11 14 18 22 
A#mM7(9) A# C# F A C   11 14 18 22 1 
A#M6 A# D F G   11 15 18 20 
A#m6 A# C# F G   11 14 18 20 
A#M6(9) A# D F G C   11 15 18 20 1 
A#m6(9) A# C# F G C   11 14 18 20 1 
Bmaj B D# F#   12 16 19 
Bmin B D F#   12 15 19 
Baug B D# G   12 16 20 
Bdim B D F   12 15 18 
Bsus2 B C# F#   12 14 19 
Bsus4 B E F#   12 17 19 
BM7 B D# F# A#   12 16 19 23 
Bm7 B D F# A   12 15 19 22 
B7 B D# F# A   12 16 19 22 
Baug7 B D# G A   12 16 20 22 
Bdim7 B D F G#   12 15 18 21 
Bo7 B D F A   12 15 18 22 
BM7sus2 B C# F# A#   12 14 19 23 
BM7sus4 B E F# A#   12 17 19 23 
B7sus2 B C# F# A   12 14 19 22 
B7sus4 B E F# A   12 17 19 22 
BM9 B D# F# A# C#   12 16 19 23 2 
Bm9 B D F# A C#   12 15 19 22 2 
B9 B D# F# A C#   12 16 19 22 2 
Baug9 B D# G A C#   12 16 20 22 2 
Bdim9 B D F G# C#   12 15 18 21 2 
BM9sus2 B C# F# A# C#   12 14 19 23 2 
BM9sus4 B E F# A# C#   12 17 19 23 2 
B9sus2 B C# F# A C#   12 14 19 22 2 
B9sus4 B E F# A C#   12 17 19 22 2 
BM11 B D# F# A# C# E   12 16 19 23 2 5 
Bm11 B D F# A C# E   12 15 19 22 2 5 
B11 B D# F# A C# E   12 16 19 22 2 5 
Baug11 B D# G A C# E   12 16 20 22 2 5 
BM11sus2 B C# F# A# C# E   12 14 19 23 2 5 
B11sus2 B C# F# A C# E   12 14 19 22 2 5 
BmM7 B D F# A#   12 15 19 23 
BmM7(9) B D F# A# C#   12 15 19 23 2 
BM6 B D# F# G#   12 16 19 21 
Bm6 B D F# G#   12 15 19 21 
BM6(9) B D# F# G# C#   12 16 19 21 2 
Bm6(9) B D F# G# C#   12 15 19 21 2 



Number of chords: 444
